CableID,Device,Area,Service,Connection,CableOrCores,PanelOrMaster,Status
C-001,E100,Main drive,Incremental encoder,Direct PLC HSC,A/B/Z + 0V/+24V per manufacturer,PLC HSC terminals,Confirmed basis
C-002,ZS100,Filler,Machine zero / valve 1 home,Direct PLC DI,3C x 0.34-0.5 mm2,PLC DI terminal,Confirmed basis
C-003,SPB100,Infeed,Bottle presence / tracking,Direct PLC DI,3C/4C x 0.34-0.5 mm2,PLC DI terminal,Confirmed basis
C-004,SPB101,Capper transfer,Bottle / cap trigger,Direct PLC DI,3C/4C x 0.34-0.5 mm2,PLC DI terminal,Confirmed basis
C-005,SPB102,Capper outfeed,Bottle presence / crash check,Direct PLC DI,3C/4C x 0.34-0.5 mm2,PLC DI terminal,Confirmed basis
C-006,TLS100,Filler tank,Tank level sensor,IO-Link or analog AI,IO-Link 3/4 wire OR 2C shielded 4-20mA,AL1403 or PLC AI,To finalise
C-007,LSL100,Filler tank,Minimum level backup,IO-Link / SIO,3C/4C x 0.34-0.5 mm2,AL1403 port,Planned
C-008,LSH100,Filler tank,Maximum level backup,IO-Link / SIO,3C/4C x 0.34-0.5 mm2,AL1403 port,Planned
C-009,SPL100,Product line,Product/water presence before pump,IO-Link,3/4 wire x 0.34-0.5 mm2,AL1403 port,Planned
C-010,VS100,Vacuum line,Vacuum sensor,IO-Link or 4-20mA,3/4 wire or 2C shielded,AL1403 or PLC AI,Planned
C-011,PS100,Pneumatic main,General air pressure switch,IO-Link,3/4 wire x 0.34-0.5 mm2,AL1403 port,Planned
C-012,PSH100,Ventilation hood,Hood/filter pressure sensor,IO-Link / SIO,3/4 wire x 0.34-0.5 mm2,AL1403 port,Planned
C-013,PEI100,Infeed,Infeed slowdown photoelectric,IO-Link / SIO,3C/4C x 0.34-0.5 mm2,AL1403 port,Confirmed basis
C-014,PEI101,Infeed,Infeed stop photoelectric,IO-Link / SIO,3C/4C x 0.34-0.5 mm2,AL1403 port,Confirmed basis
C-015,PEO100,Outfeed,Outfeed slowdown photoelectric,IO-Link / SIO,3C/4C x 0.34-0.5 mm2,AL1403 port,Confirmed basis
C-016,PEO101,Outfeed,Outfeed stop photoelectric,IO-Link / SIO,3C/4C x 0.34-0.5 mm2,AL1403 port,Confirmed basis
C-017,CS100,Cap hopper,Low cap level sensor,IO-Link / SIO,3C/4C x 0.34-0.5 mm2,AL1403 port,Confirmed basis
C-018,CS101,Cap chute,Orienter demand sensor,IO-Link / SIO,3C/4C x 0.34-0.5 mm2,AL1403 port,Confirmed basis
C-019,CS102,Cap chute,Cap chute empty sensor,IO-Link / SIO,3C/4C x 0.34-0.5 mm2,AL1403 port,Confirmed basis
C-020,CS103,Pick and place,Cap present sensor,Direct PLC DI,3C/4C x 0.34-0.5 mm2,PLC DI,Confirmed basis
C-021,LSF100,Filler lift,Filler upper limit,Field DI,3C/4C x 0.34-0.5 mm2,AL1403/terminal,Confirmed basis
C-022,LSF101,Filler lift,Filler lower limit,Field DI,3C/4C x 0.34-0.5 mm2,AL1403/terminal,Confirmed basis
C-023,LSC100,Capper lift,Capper upper limit,Field DI,3C/4C x 0.34-0.5 mm2,AL1403/terminal,Confirmed basis
